"","Scenarios","NToti","NTott","NTottLCL","NTottUCL","NTottDelta","PopsTi","PopsTt","PopsTtLCL","PopsTtUCL","PopsTDelta","NMetaI","NMetaT","NMetaTLCL","NMetaTUCL","NMetaTDelta"
"22","Low threats","1497","1","0","48","-99.9331997327989","51","1","0","2","-98.0392156862745","7","0","0","1","-100"
"23","Medium threats","1488","0","0","55","-100","51","1","0","2","-98.0392156862745","7","1","0","1","-85.7142857142857"
"24","High threats","1471","1","0","56","-99.9320190346703","51","1","0","2","-98.0392156862745","7","1","0","1","-85.7142857142857"
"25","Management (high) + medium threats","1474","0","0","56","-100","51","1","0","2","-98.0392156862745","7","0.5","0","1","-92.8571428571429"
"26","Management (low) + medium threats","1459","0","0","45","-100","51","1","0","2","-98.0392156862745","7","0","0","1","-100"
"27","Management (very low) + medium threats","1480","0","0","34","-100","51","1","0","2","-98.0392156862745","7","0","0","1","-100"
"54","Low threats","2816","2","0","80","-99.9289772727273","41","2","0","3","-95.1219512195122","16","0","0","3","-100"
"55","Medium threats","2832","0","0","95","-100","41","2","0","3","-95.1219512195122","16","0","0","2","-100"
"56","High threats","2825","1","0","87","-99.9646017699115","41","1","0","3","-97.5609756097561","16","0","0","3","-100"
"57","Management (high) + medium threats","2786","2","0","85","-99.9282124910266","41","2","0","3","-95.1219512195122","16","0","0","3","-100"
"58","Management (low) + medium threats","2798","2","0","78","-99.9285203716941","41","1","0","3","-97.5609756097561","16","0","0","3","-100"
"59","Management (very low) + medium threats","2768","1","0","76","-99.9638728323699","41","1","0","3","-97.5609756097561","16","0","0","2.25","-100"
"86","Low threats","19158","60","0","717","-99.6868149076104","97","9","6","13","-90.7216494845361","50","5","2","12","-90"
"87","Medium threats","19104","64","0","744","-99.6649916247906","97","9","5","13","-90.7216494845361","50","5","2","9","-90"
"88","High threats","19005","68","0","743","-99.6421994212049","97","9","5","13","-90.7216494845361","50","5","2","13.5","-90"
"89","Management (high) + medium threats","18874","56","1","909","-99.7032955388365","97","10","6","13","-89.6907216494845","50","4","2","15","-92"
"90","Management (low) + medium threats","18885","43","0","751","-99.772306063013","97","9","5","13","-90.7216494845361","50","5","2","14.25","-90"
"91","Management (very low) + medium threats","19124","66","1","684","-99.6548839154988","97","9","5","12","-90.7216494845361","50","3","2","13","-94"
"118","Low threats","13981","14","0","480","-99.8998641012803","110","9","5","13","-91.8181818181818","44","4","1","10","-90.9090909090909"
"119","Medium threats","14071","13","0","503","-99.907611399332","110","9","5","13","-91.8181818181818","44","4","1","7","-90.9090909090909"
"120","High threats","14007","11","0","536","-99.9214678375098","110","9","5","13","-91.8181818181818","44","6","1","8","-86.3636363636364"
"121","Management (high) + medium threats","14024","10","0","472","-99.9286936679977","110","9","6","13","-91.8181818181818","44","5","1","12.25","-88.6363636363636"
"122","Management (low) + medium threats","14068","12","0","434","-99.9147000284333","110","8","4","12","-92.7272727272727","44","5","1","8.25","-88.6363636363636"
"123","Management (very low) + medium threats","13922","10","0","435","-99.9281712397644","110","8","4","12","-92.7272727272727","44","3","1","8","-93.1818181818182"
"150","Low threats","32317","135","1","2337","-99.5822632051242","158","19","14","24","-87.9746835443038","87","13","5","21","-85.0574712643678"
"151","Medium threats","32338","109","1","2308","-99.6629352464593","158","18","13","22","-88.6075949367088","87","9","4","21.5","-89.6551724137931"
"152","High threats","32512","110","0","2106","-99.6616633858268","158","19","14","24","-87.9746835443038","87","13","3","23","-85.0574712643678"
"153","Management (high) + medium threats","32551","149","0","2141","-99.5422567663052","158","19","14","23.075","-87.9746835443038","87","9.5","4","23","-89.0804597701149"
"154","Management (low) + medium threats","32384","99","0","2277","-99.6942934782609","158","17","13","23","-89.2405063291139","87","10","3","20.25","-88.5057471264368"
"155","Management (very low) + medium threats","32129","124","0","2009","-99.6140558374055","158","17","13","22","-89.2405063291139","87","11","4","20.25","-87.3563218390805"
