"Scenarios","NToti","NTott","NTottLCL","NTottUCL","NTottDelta","PopsTi","PopsTt","PopsTtLCL","PopsTtUCL","PopsTDelta","NMetaI","NMetaT","NMetaTLCL","NMetaTUCL","NMetaTDelta"
"Low threats","1476","163","104","465","-88.9566395663957","51","18","13","23","-64.7058823529412","7","3","3","4","-57.1428571428571"
"Medium threats","1482","166","104","424","-88.7989203778677","51","19","14","23","-62.7450980392157","7","3","3","6","-57.1428571428571"
"High threats","1481","166","102","512","-88.7913571910871","51","18","14","23","-64.7058823529412","7","3","3","4","-57.1428571428571"
"Management (high) + medium threats","1514","166","105","521","-89.0356671070013","51","20","15","24","-60.7843137254902","7","3","3","5","-57.1428571428571"
"Management (low) + medium threats","1490","164","102","398","-88.993288590604","51","18","14","23","-64.7058823529412","7","3","3","4","-57.1428571428571"
"Management (very low) + medium threats","1492","160","103","426","-89.2761394101877","51","16","12","21","-68.6274509803922","7","3","3","4","-57.1428571428571"
"Low threats","2794","133","83","700","-95.2397995705082","41","14","10","18","-65.8536585365854","16","4.5","2.75","6","-71.875"
"Medium threats","2808","136","83","593","-95.1566951566952","41","14","10","17.075","-65.8536585365854","16","5","2","8","-68.75"
"High threats","2788","128","82","509","-95.4088952654232","41","13","9","16","-68.2926829268293","16","3","2","8","-81.25"
"Management (high) + medium threats","2796","136","87","503","-95.1359084406295","41","14","10","17.075","-65.8536585365854","16","4.5","2","9","-71.875"
"Management (low) + medium threats","2798","132","82","509","-95.2823445318084","41","13","9","17","-68.2926829268293","16","4","2","7.25","-75"
"Management (very low) + medium threats","2808","131","84","526","-95.3347578347578","41","14","10","17","-65.8536585365854","16","5","2","7","-68.75"
"Low threats","19186","6281","2615","14042","-67.2625873032419","97","43","37","49","-55.6701030927835","50","24","12.75","39.25","-52"
"Medium threats","19082","6213","2045","15796","-67.4405198616497","97","44","37","49","-54.639175257732","50","22.5","14.75","38.25","-55"
"High threats","18986","6074","1783","15065","-68.0080058990835","97","43","37","49","-55.6701030927835","50","24","12.75","35","-52"
"Management (high) + medium threats","18969","6090","2151","14658","-67.8949865570141","97","43","37","48","-55.6701030927835","50","24","13","35.5","-52"
"Management (low) + medium threats","19150","6085","2366","15022","-68.22454308094","97","42","37","48","-56.701030927835","50","23.5","13","37","-53"
"Management (very low) + medium threats","19134","6500","2080","14559","-66.0290582209679","97","42","36","48","-56.701030927835","50","24","12","35","-52"
"Low threats","14008","2668","801","7354","-80.9537407195888","110","48","42","54","-56.3636363636364","44","16.5","11","26","-62.5"
"Medium threats","14149","2589","740","7880","-81.7018870591561","110","48","41","54","-56.3636363636364","44","16.5","10","27","-62.5"
"High threats","14004","2542","880","7572","-81.8480434161668","110","48","41","55","-56.3636363636364","44","16","10","27.25","-63.6363636363636"
"Management (high) + medium threats","14054","2629","738","8406","-81.2935818983919","110","50","44","56","-54.5454545454545","44","20","13","27","-54.5454545454545"
"Management (low) + medium threats","13980","2602","811","8100","-81.3876967095851","110","48","41","54","-56.3636363636364","44","19","11.75","28.25","-56.8181818181818"
"Management (very low) + medium threats","14070","2576","763","7699","-81.6915422885572","110","48","41","54","-56.3636363636364","44","21","12.75","27.25","-52.2727272727273"
"Low threats","32418","10361","4299","34187","-68.0393608489111","158","60","53","67","-62.0253164556962","87","34","19","53","-60.9195402298851"
"Medium threats","32068","10078","5155","32753","-68.573032306349","158","59","51","66","-62.6582278481013","87","31","19","52.25","-64.367816091954"
"High threats","32473","9696","2992","33732","-70.1413481969636","158","57","50","64","-63.9240506329114","87","31","18","50.25","-64.367816091954"
"Management (high) + medium threats","32301","9942","4902","32583","-69.2207671589115","158","59","52","66","-62.6582278481013","87","33","20","55","-62.0689655172414"
"Management (low) + medium threats","32414","10066","4752","30048","-68.9455173690381","158","58","51","65","-63.2911392405063","87","30","20","48.5","-65.5172413793103"
"Management (very low) + medium threats","32616","10022","5100","31371","-69.2727495707628","158","58","51","65","-63.2911392405063","87","33","17.75","52","-62.0689655172414"
